rank	bigrama	conteo
1	of the	29243229
2	in the	21114875
3	to the	9925039
4	at the	6927982
5	and the	6558970
6	on the	6498485
7	for the	6284322
8	by the	4951886
9	with the	4744073
10	from the	4299070
11	he was	4024983
12	the first	3528300
13	as the	3433498
14	it was	3270325
15	to be	2740301
16	it is	2629270
17	that the	2210412
18	one of	2196686
19	during the	2183913
20	was the	2163338
21	is the	2064722
22	part of	1818070
23	such as	1741596
24	united states	1676629
25	and was	1623849
26	the united	1561047
27	after the	1478402
28	of his	1445115
29	as well	1384224
30	has been	1378388
31	the same	1358171
32	due to	1328753
33	the new	1284189
34	is an	1245877
35	known as	1216497
36	well as	1189042
37	the second	1179635
38	new york	1177631
39	the city	1152841
40	into the	1142433
41	she was	1093396
42	member of	1089805
43	have been	1080681
44	under the	1077700
45	according to	1069226
46	in his	1054783
47	had been	1047443
48	university of	1030631
49	the national	987728
50	number of	984793
51	the university	972314
52	the film	961339
53	the following	949484
54	which was	937592
55	as an	930974
56	can be	916085
57	the most	903080
58	and in	884606
59	was born	866832
60	end of	863302
61	and his	854730
62	did not	835973
63	was also	831777
64	that he	825045
65	and is	824277
66	the end	823265
67	the world	822719
68	was an	821991
69	th century	818941
70	out of	809167
71	over the	802792
72	where he	798918
73	he is	782819
74	the time	770187
75	born in	756367
76	based on	739705
77	served as	739210
78	won the	735862
79	when the	731198
80	to have	720312
81	the two	707305
82	between the	698486
83	which is	698128
84	there are	695467
85	was released	685212
86	would be	680513
87	he had	679254
88	is also	677820
89	the album	675855
90	they were	667147
91	for his	663494
92	high school	660530
93	the state	658841
94	more than	655178
95	through the	654165
96	there were	633949
97	along with	630777
98	the song	627990
99	of its	626997
100	and other	626598
101	the team	623919
102	list of	618517
103	in which	616814
104	of their	615152
105	the town	609952
106	world war	604478
107	the final	602348
108	he also	601931
109	there is	601822
110	the main	599587
111	the company	594215
112	the band	585815
113	in an	584772
114	to his	584668
115	the club	584635
116	the family	582796
117	his first	577225
118	the name	576593
119	within the	574908
120	against the	573155
121	moved to	570363
122	returned to	565150
123	the last	564504
124	was not	564469
125	the north	563896
126	who was	562629
127	up to	560725
128	of this	559374
129	the south	550310
130	the other	549859
131	the year	549559
132	the early	548101
133	as of	544766
134	became the	543858
135	with his	536210
136	it has	535122
137	located in	530851
138	the game	528619
139	in this	522878
140	the area	518158
141	is located	516785
142	the next	513432
143	members of	510921
144	the original	510505
145	that it	509765
146	an american	506821
147	they are	503258
148	of which	502222
149	age of	498446
150	most of	496982
151	the british	495638
152	the village	495358
153	before the	495101
154	the season	493393
155	when he	489893
156	the age	489033
157	following the	488764
158	in addition	487794
159	this is	486962
160	is not	485818
161	the third	483146
162	some of	482366
163	and then	481650
164	the population	480899
165	the country	479165
166	the only	475971
167	while the	473789
168	he has	471357
169	the top	470260
170	the american	464501
171	but the	464256
172	of her	458274
173	of an	456817
174	the school	456753
175	as part	454554
176	found in	454459
177	about the	454414
178	refer to	452937
179	president of	452342
180	in their	447512
181	who had	447281
182	this was	442950
183	which he	441134
184	used to	439371
185	with an	435984
186	city of	434677
187	the government	434258
188	and that	432946
189	in new	431583
190	to make	430900
191	use of	430538
192	the west	429016
193	of these	428772
194	was named	427495
195	the series	425724
196	including the	424682
197	able to	424423
198	the war	423685
199	early life	423482
200	the group	423440
201	was appointed	418249
202	and its	416785
203	in january	415816
204	the house	414102
205	the church	413641
206	the late	410203
207	back to	409708
208	the royal	407925
209	his father	402097
210	around the	399689
211	in order	398418
212	and he	396740
213	in june	394764
214	in may	394630
215	was in	390777
216	in march	388644
217	in october	388328
218	in september	387566
219	at least	386295
220	new zealand	386127
221	joined the	385250
222	order to	383699
223	until the	381695
224	since the	381352
225	released on	380094
226	because of	379223
227	that they	378968
228	and has	377770
229	in july	376091
230	may be	375057
231	him to	374946
232	where the	372365
233	in november	372259
234	died in	372114
235	the station	372062
236	the building	371244
237	there was	370227
238	in december	369264
239	on to	368739
240	among the	366617
241	and to	365572
242	in its	365013
243	area of	362589
244	in april	362056
245	the east	360695
246	that is	360359
247	of all	360080
248	state of	359840
249	the french	358800
250	she is	358643
251	and it	357083
252	also known	354925
253	the best	354848
254	in august	354621
255	series of	354405
256	all the	354046
257	was one	352608
258	was built	352121
259	the former	350883
260	department of	349777
261	to take	348146
262	history of	347848
263	species of	347750
264	announced that	347316
265	that was	347296
266	he played	347271
267	house of	346136
268	known for	345798
269	led to	345684
270	on his	344902
271	which the	344597
272	the title	342795
273	along the	340886
274	his wife	340750
275	was elected	340494
276	he became	336548
277	is one	335936
278	son of	334773
279	in february	334705
280	does not	332789
281	years of	332543
282	prior to	332299
283	the site	331384
284	the show	331247
285	released in	330921
286	director of	330171
287	all of	329026
288	published in	327922
289	population of	327348
290	and an	327001
291	los angeles	326908
292	used in	326011
293	for example	324075
294	district of	324017
295	was to	323335
296	life and	323120
297	made his	322683
298	will be	321049
299	directed by	320692
300	of new	320361
301	the us	319163
302	continued to	318800
303	many of	317543
304	on september	317354
305	the book	317013
306	to its	316629
307	the largest	316289
308	the battle	314983
309	may refer	314178
310	throughout the	312931
311	took place	311944
312	and later	311072
313	time of	311008
314	said that	308423
315	battle of	307729
316	addition to	307697
317	on july	307183
318	on october	306838
319	his own	306407
320	version of	305570
321	on june	304887
322	first time	304353
323	are the	304075
324	the district	303575
325	the local	303173
326	was held	303031
327	war ii	302801
328	on march	301709
329	across the	301702
330	on may	301390
331	to an	301085
332	be the	300882
333	and their	300630
334	near the	300259
335	school in	300086
336	to their	299999
337	the central	299038
338	on november	298440
339	this time	297995
340	personal life	297052
341	the uk	296820
342	by his	296561
343	on august	295224
344	on april	294443
345	appeared in	294019
346	on january	293351
347	for its	292582
348	rather than	292277
349	they had	292160
350	is now	291345
351	than the	291246
352	held in	289032
353	that she	288577
354	group of	288229
355	he served	286349
356	had to	286122
357	the great	285570
358	during his	285213
359	is in	284875
360	began to	284295
361	to play	284287
362	school of	283334
363	role in	282814
364	was first	282514
365	stated that	282373
366	could be	282338
367	the number	282026
368	the western	281997
369	the river	281816
370	the international	280837
371	york city	280413
372	side of	279319
373	and had	278734
374	for her	278382
375	involved in	278291
376	for their	278224
377	the german	278069
378	to become	277993
379	the old	277920
380	on december	277729
381	and one	277260
382	built in	276845
383	decided to	276740
384	called the	275514
385	referred to	274719
386	has also	274342
387	the latter	274166
388	he made	274061
389	that year	273641
390	place in	273131
391	was established	271713
392	and also	270921
393	founded in	270572
394	used for	270345
395	went on	269433
396	the three	269031
397	the rest	268698
398	with her	267810
399	in her	267162
400	written by	267020
401	and her	265059
402	form of	264472
403	led by	264405
404	the region	264174
405	was founded	263718
406	played in	263484
407	united kingdom	262724
408	both the	262446
409	the southern	261728
410	followed by	261349
411	is known	261260
412	the northern	260412
413	the public	260172
414	from his	259378
415	he would	259201
416	who were	258778
417	associated with	258597
418	as it	257851
419	but was	257634
420	produced by	257386
421	the party	256681
422	of them	255372
423	total of	254777
424	the middle	254681
425	his career	254482
426	would have	254468
427	result of	254318
428	development of	253751
429	and two	253150
430	consists of	251681
431	to win	251346
432	his death	250648
433	which are	249847
434	it to	249368
435	to her	249080
436	was later	248952
437	as one	248615
438	head of	247770
439	their own	247307
440	on february	247034
441	were the	246846
442	two years	246341
443	north of	245997
444	parts of	245844
445	the island	245744
446	town of	245360
447	be used	245285
448	board of	244776
449	of two	244547
450	the european	244262
451	return to	243311
452	was made	241844
453	was awarded	241630
454	it had	240580
455	where she	240384
456	established in	240020
457	the league	239981
458	on their	239571
459	name of	239052
460	rest of	238646
461	south of	238625
462	time in	238434
463	west of	238070
464	the right	237700
465	that are	237389
466	which had	237374
467	the king	237067
468	was announced	236845
469	east of	236667
470	up in	236424
471	if the	236332
472	after his	236252
473	same year	235632
474	as he	234941
475	village in	234882
476	minister of	234574
477	the previous	234418
478	similar to	233909
479	the use	233416
480	the fourth	233256
481	the story	232384
482	their first	232383
483	and on	232256
484	he died	232100
485	award for	231368
486	are also	229947
487	the eastern	229467
488	them to	228621
489	the highest	228247
490	the line	228155
491	and as	227496
492	participated in	227390
493	she has	227098
494	are not	227084
495	that of	225665
496	as they	225608
497	when it	224055
498	prime minister	223843
499	responsible for	223816
500	lack of	223779
501	the people	223514
502	in london	222936
503	the current	222198
504	also the	221946
505	the event	221864
506	the general	221420
507	to create	220874
508	the entire	220718
509	based in	219868
510	the project	219083
511	much of	219062
512	in early	218816
513	who is	218612
514	and they	218472
515	to work	217871
516	world cup	217833
517	but it	217749
518	played for	217745
519	the case	217670
520	the head	217480
521	used as	217185
522	to get	216987
523	which were	216623
524	in that	216313
525	named after	215664
526	he won	215516
527	for an	215468
528	or the	215321
529	the county	214689
530	construction of	214609
531	was used	214283
532	to use	214038
533	to do	213815
